	0
children.1.children.53.node_attrs.Nextclade_pango.value	XCM
children.1.children.54.node_attrs.partiallyAliased.value	XCQ
children.1.children.54.node_attrs.Nextclade_pango.value	XCQ
children.1.children.55.node_attrs.partiallyAliased.value	XCR
children.1.children.55.node_attrs.Nextclade_pango.value	XCR
children.1.children.56.node_attrs.partiallyAliased.value	XCS
children.1.children.56.node_attrs.Nextclade_pango.value	XCS
children.1.children.57.node_attrs.partiallyAliased.value	XCU
children.1.children.57.node_attrs.Nextclade_pango.value	XCU
children.1.children.58.node_attrs.partiallyAliased.value	XCV
children.1.children.58.node_attrs.Nextclade_pango.value	XCV
children.1.children.59.node_attrs.partiallyAliased.value	XCW
children.1.children.59.node_attrs.Nextclade_pango.value	XCW
children.1.children.60.node_attrs.partiallyAliased.value	XCY
children.1.children.60.node_attrs.Nextclade_pango.value	XCY
children.1.children.61.node_attrs.partiallyAliased.value	XD
children.1.children.61.node_attrs.Nextclade_pango.value	XD
children.1.children.62.node_attrs.partiallyAliased.value	XCZ
children.1.children.62.node_attrs.Nextclade_pango.value	XCZ
children.1.children.63.node_attrs.partiallyAliased.value	XDC
children.1.children.63.node_attrs.Nextclade_pango.value	XDC
children.1.children.64.node_attrs.partiallyAliased.value	XDB
children.1.children.64.node_attrs.Nextclade_pango.value	XDB
children.1.children.65.node_attrs.partiallyAliased.value	XDG
children.1.children.65.node_attrs.Nextclade_pango.value	XDG
children.1.children.66.node_attrs.partiallyAliased.value	XDE
children.1.children.66.node_attrs.Nextclade_pango.value	XDE
children.1.children.67.node_attrs.partiallyAliased.value	XDF
children.1.children.67.node_attrs.Nextclade_pango.value	XDF
children.1.children.68.node_attrs.partiallyAliased.value	XDH
children.1.children.68.node_attrs.Nextclade_pango.value	XDH
children.1.children.69.node_attrs.partiallyAliased.value	XDJ
children.1.children.69.node_attrs.Nextclade_pango.value	XDJ
children.1.children.70.node_attrs.partiallyAliased.value	XDL
children.1.children.70.node_attrs.Nextclade_pango.value	XDL
children.1.children.71.node_attrs.partiallyAliased.value	XDM
children.1.children.71.node_attrs.Nextclade_pango.value	XDM
children.1.children.72.node_attrs.partiallyAliased.value	XDN
children.1.children.72.node_attrs.Nextclade_pango.value	XDN
children.1.children.73.node_attrs.partiallyAliased.value	XDU
children.1.children.73.node_attrs.Nextclade_pango.value	XDU
children.1.children.74.node_attrs.partiallyAliased.value	XDT
children.1.children.74.node_attrs.Nextclade_pango.value	XDT
children.1.children.75.node_attrs.partiallyAliased.value	XDS
children.1.children.75.node_attrs.Nextclade_pango.value	XDS
children.1.children.76.node_attrs.partiallyAliased.value	XDW
children.1.children.76.node_attrs.Nextclade_pango.value	XDW
children.1.children.77.node_attrs.partiallyAliased.value	XDY
